;Originally developed by Anthony Bowden
;www.railsimroutes.co.uk
;
;This file and any associated textures
;have been released into the public
;domain and can be freely modified or
;re-used without restrictions
;
;See 'Readme.txt'

CreateMeshBuilder,
AddVertex,15, 4.3, 0,
AddVertex,15, 4.3, 25.3,
AddVertex,15, 2.9, 25.3,
AddVertex,15, 2.9, 0,
AddFace,3,2,1,0,
GenerateNormals,

LoadTexture,..\Fence_Redditch.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 20, 0,
SetTextureCoordinates,2, 20, 1,
SetTextureCoordinates,3, 0, 1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,
AddVertex,15, 2.9, 25.3,
AddVertex,15, 2.9, 0,
AddVertex,10, -0.3, 0,
AddVertex,10, -0.3, 25.3,
AddFace,0,1,2,3,
GenerateNormals,

LoadTexture,..\..\..\Common_Textures\Emb1.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 0, 1,
